                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.80178,                 0.4981,                 1.1601,                0.95255,                0.93212,                0.97433,                0.65466,                 1.2631,                0.49605,                 1.7678,             8.6883e-06,             8.6883e-06,             8.6883e-06
                     55,                0.78812,                0.49811,                 1.1595,                 0.9317,                0.92513,                0.96087,                0.63361,                 1.3055,                0.53699,                 1.8661,             8.6635e-06,             8.6635e-06,             8.6635e-06
                     56,                 0.7833,                0.50882,                  1.157,                0.95444,                0.91194,                0.96492,                0.63445,                 1.3148,                0.52578,                 1.8069,             8.6388e-06,             8.6388e-06,             8.6388e-06
                     57,                0.76103,                0.48055,                   1.13,                  0.946,                 0.9551,                0.97287,                0.63042,                 1.2813,                0.49514,                 1.8067,              8.614e-06,              8.614e-06,              8.614e-06
                     58,                0.76024,                0.48512,                 1.1414,                0.92065,                0.94484,                 0.9817,                0.65116,                 1.2758,                0.49525,                 1.8058,             8.5893e-06,             8.5893e-06,             8.5893e-06
                     59,                0.77109,                0.48054,                 1.1472,                0.94677,                0.92393,                0.97488,                0.65036,                 1.2619,                0.52724,                 1.7858,             8.5645e-06,             8.5645e-06,             8.5645e-06
                     60,                0.75833,                0.48992,                 1.1398,                0.94536,                0.93168,                 0.9658,                0.63833,                 1.2772,                0.53525,                 1.8148,             8.5398e-06,             8.5398e-06,             8.5398e-06
                     61,                0.75716,                0.48078,                 1.1278,                 0.9133,                0.94394,                 0.9638,                0.64845,                 1.2809,                0.50912,                 1.7943,              8.515e-06,              8.515e-06,              8.515e-06
                     62,                0.76087,                0.47727,                 1.1249,                0.93792,                0.94744,                0.96902,                0.64573,                 1.2839,                0.51622,                 1.7654,             8.4903e-06,             8.4903e-06,             8.4903e-06
                     63,                0.74213,                 0.4622,                 1.1257,                0.95194,                0.93649,                0.97152,                0.64342,                 1.3076,                0.48476,                 1.8662,             8.4655e-06,             8.4655e-06,             8.4655e-06
                     64,                0.73674,                0.45797,                 1.1155,                0.96692,                0.94538,                0.98578,                0.65802,                 1.2842,                0.46469,                 1.7941,             8.4408e-06,             8.4408e-06,             8.4408e-06
                     65,                0.73666,                0.45846,                 1.1056,                0.97247,                0.94405,                0.98591,                 0.6498,                 1.2751,                0.46154,                 1.7827,              8.416e-06,              8.416e-06,              8.416e-06
                     66,                0.73011,                0.45173,                 1.0972,                0.94526,                  0.979,                 0.9817,                0.63716,                 1.3001,                0.44871,                 1.8173,             8.3913e-06,             8.3913e-06,             8.3913e-06
                     67,                0.71678,                0.43943,                 1.0994,                0.97325,                  0.953,                0.98502,                0.64793,                 1.2983,                0.46847,                 1.8412,             8.3665e-06,             8.3665e-06,             8.3665e-06
                     68,                 0.7273,                0.45535,                 1.1016,                0.95634,                0.93117,                0.97335,                0.64217,                 1.3345,                0.48488,                 1.8478,             8.3418e-06,             8.3418e-06,             8.3418e-06
                     69,                0.73337,                0.46667,                 1.1071,                0.94879,                0.95622,                0.96644,                 0.6191,                 1.2971,                0.49025,                  1.761,              8.317e-06,              8.317e-06,              8.317e-06
                     70,                0.72098,                 0.4498,                 1.0893,                0.94299,                0.91779,                0.96062,                0.61252,                  1.348,                0.53417,                 1.8781,             8.2923e-06,             8.2923e-06,             8.2923e-06
                     71,                0.72295,                0.46166,                 1.0959,                0.93284,                0.92654,                0.96821,                0.64061,                 1.3274,                0.51362,                 1.8593,             8.2675e-06,             8.2675e-06,             8.2675e-06
                     72,                0.71639,                0.44469,                 1.0882,                0.95313,                0.93472,                0.97292,                0.63592,                 1.2916,                0.50581,                 1.8127,             8.2427e-06,             8.2427e-06,             8.2427e-06
                     73,                0.72448,                0.44956,                 1.0909,                0.91374,                 0.9507,                0.95879,                0.63866,                  1.327,                0.51456,                 1.8715,              8.218e-06,              8.218e-06,              8.218e-06
                     74,                0.70691,                0.43854,                   1.09,                0.92998,                0.94759,                0.98025,                0.64285,                 1.2927,                0.47996,                 1.8512,             8.1932e-06,             8.1932e-06,             8.1932e-06
                     75,                0.69592,                0.42505,                 1.0778,                0.90609,                0.96651,                0.97172,                 0.6402,                 1.3038,                0.50058,                 1.8812,             8.1685e-06,             8.1685e-06,             8.1685e-06
