RegionID,SizeRank,RegionName,RegionType,StateName,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022
394309,510,"Albemarle, NC",msa,NC,146390,148112,151990,141496,142466,141206,151873,151655,156208,159392,168646,171861,167401,159502,157260,162444,172159,168347,168224,160911,160901,160798,172223,174647,171295,169530,176571,189267,189656,190299,185209,185186,188116,191820,192647,206058,204625,213511,211005,223696,232245,229257,227574,212874,219099,223404,244859,253339
394825,512,"Marinette, WI",msa,WI,92744,102799,102239,104769,99954,98919,103444,107348,108275,95244,95796,98581,111655,108315,113884,107060,104904,102071,98925,100065,109786,111170,115393,107851,119856,124171,124863,123891,126465,117098,115934,117343,128357,126562,120352,124150,127199,136183,138906,134103,139220,136317,151970,152059,156908,152481,151713,153905
394889,514,"Mount Vernon, OH",msa,OH,154218,156752,151258,147065,143956,148538,143430,140237,136750,139309,148282,157259,166123,162937,154805,159631,159080,161720,159003,161867,166291,158985,169017,167307,177140,172420,164006,159245,156249,165351,162183,160718,153000,155141,159832,176673,187449,197133,192612,194177,192632,195687,198644,200207,201216,204232,203652,201358
395063,515,"Sanford, NC",msa,NC,157770,151252,154840,144139,141493,152071,163049,170494,158336,157411,155358,160359,160993,168490,158126,164897,169163,175604,171024,166604,172461,186649,190015,195964,192890,191373,195762,193337,199150,202076,205256,215182,215184,223862,217402,218197,218591,230006,236256,235239,234425,239148,252966,271251,269397,266168,258157,262539
394509,517,"Crossville, TN",msa,TN,152766,156546,155590,155778,149846,148314,143251,146536,155610,160660,168679,170849,176913,174977,168139,165502,164346,173464,180831,179396,173145,168161,167900,172006,180663,186304,192938,192264,196267,199080,211400,226137,224013,219473,218474,240181,239828,248664,242820,252473,251841,247554,256712,258660,273060,270844,270533,259274
394456,520,"Charleston, IL",msa,IL,83991,86617,86280,91731,90104,94073,90898,93772,95884,95708,93534,93219,94185,103158,104185,105710,97501,101681,101961,100180,90094,97328,97014,101824,92482,102688,105945,107668,106427,108804,119248,116064,114523,108999,111225,108148,106022,99507,103505,102522,108166,104329,104818,102979,106851,107163,115353,109395
395136,523,"Sturgis, MI",msa,MI,123072,119384,119208,124695,120373,124628,118778,124448,116410,118816,121921,127263,126662,124481,121160,126688,128731,132816,127345,129484,134622,142367,135683,135339,131910,144189,145701,149046,145329,145717,149250,150037,154978,148232,146194,141723,151024,157352,160004,159149,159287,164166,164930,167198,167636,166522,170106,165303
395071,524,"Sayre, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153652,147145,152266,139326,138105,135264,142782,149338,146984,145618,148240,155040,162702,161404,170634,175551,174474,169031
753903,525,"Marietta, OH",msa,OH,120985,128366,132387,134857,130374,136389,134686,137383,128738,130579,131581,124875,130631,137585,158369,156591,153445,141419,149886,143715,152167,141013,139423,138294,140242,145702,143754,147542,150066,147248,146312,155191,162716,155967,152515,139999,154820,162436,175670,165152,160267,155629,158204,157025,156211,156902,150424,156026
394693,527,"Hudson, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442972,401560,351737,392569,416235
394432,529,"Calhoun, GA",msa,GA,134903,136166,144184,141615,140303,138290,140464,146366,151422,154162,155662,154300,156505,154528,153860,153451,157882,161497,152677,148100,148525,159674,166916,171123,171541,171518,172185,176059,177973,177493,180130,183983,185740,188736,193546,209239,212719,210373,200614,198337,201091,201024,205320,216147,226133,234512,233075,229891
394591,530,"Fergus Falls, MN",msa,MN,174929,183082,190888,187955,173051,162694,175237,179853,195563,184611,188714,185051,187580,200091,183896,194945,189561,197705,185025,197936,194549,204620,204065,216818,216378,214298,221286,234225,227601,218039,202698,208688,210452,238093,239763,236333,220039,220244,221871,224019,247849,261578,254345,234321,233049,245170,250522,245935
394336,532,"Ardmore, OK",msa,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168281,171659,165679,170954,169270,184647,179117,175154,179919,178265,191498,186052,179966,161643,152009,163387,160790,172870,164579,176445
394618,535,"Fremont, OH",msa,OH,102940,108512,113345,115411,115276,115160,107945,109375,102736,105101,109636,104109,104145,101841,113027,118971,115058,115328,106763,105584,110821,118210,123125,121343,121922,126864,125216,125472,121812,120391,120890,121327,119966,121691,122472,132586,138048,144811,141771,138609,134350,134280,132859,135355,134762,134264,131345,134386
394592,537,"Fernley, NV",msa,NV,255909,257158,256670,258487,259391,262034,265409,266493,265108,266307,269693,276212,276852,278817,279374,274718,273970,282045,292984,297135,285691,282219,276075,278848,282746,292800,303429,307371,309774,311709,321298,328253,332686,338470,346797,355196,361284,366902,368693,370270,370316,375972,378201,386196,390510,401768,404819,409096
753877,539,"Cullowhee, NC",msa,NC,237784,241873,254690,274208,271882,255851,228863,228314,227443,238748,236725,235602,233710,242355,246554,275467,279889,287843,272031,263449,255465,233570,254891,273799,322787,338412,361900,318641,313965,300596,326100,323157,337840,336461,360852,354429,358015,334746,326549,324574,331977,339955,356112,373477,401771,398566,428348,400377
394923,540,"Norwalk, OH",msa,OH,118360,124182,125772,118935,111771,107858,114646,111055,103757,95965,103429,111284,108621,104881,110744,110127,104221,105275,111328,123340,118945,121695,118931,116271,110755,110528,114756,121499,120133,118836,114067,122319,117335,124952,121809,138799,134184,136266,129169,127972,127341,122982,129954,134199,137872,142707,138569,137103
394621,544,"Gaffney, SC",msa,SC,106287,90890,102161,103766,129749,126750,141900,137910,124274,106062,102336,118708,129755,142558,133961,137390,127230,134749,139850,140038,137152,135301,141307,143715,148372,147774,153765,150921,140340,127509,135614,146661,154714,135406,137425,131685,140878,151761,163759,164955,165729,169882,170588,177188,180590,194293,179497,171982
394365,545,"Batavia, NY",msa,NY,121655,121697,123715,121352,123897,116787,128605,117666,119624,112688,123514,119229,121692,130593,138080,132612,125360,130391,131777,126402,120457,134420,138849,147996,141489,146906,144531,145599,141182,146544,144165,149675,148997,149009,152045,148848,153799,152103,156649,164395,167615,172036,162961,168413,171450,170467,168222,166137
394547,548,"Durango, CO",msa,CO,389152,399906,399170,415174,415550,405295,380848,373410,372873,381077,374313,386304,390623,405104,406977,388079,393773,394799,401266,405740,415733,411021,412409,406290,423955,425088,437190,451548,451460,469000,455715,466517,460552,476022,491669,502680,524669,533684,535709,564579,571861,576383,581127,567965,593950,617827,635065,615249
394402,549,"Boone, NC",msa,NC,259365,261573,252056,250020,238727,228520,235426,251303,266468,259640,265087,271716,270253,267588,270951,277742,281120,286113,296715,287342,280756,272805,287202,294966,317704,333603,336195,330595,330781,341435,367206,367517,372512,363612,361814,365949,361264,379491,383054,394163,392400,407630,406114,416964,447835,468160,486264,460385
394411,551,"Branson, MO",msa,MO,144034,144462,144244,144719,146543,157551,161700,160075,152251,150832,155607,159987,155919,153354,151799,161681,162386,155117,156944,157613,168101,169296,168403,172074,170728,181324,186531,192560,186964,178851,182060,195282,209782,215070,218352,215557,208174,209873,215936,234176,235522,242567,241091,256172,257815,258701,252572,255777
394444,552,"Carson City, NV",msa,NV,306582,300761,305211,308760,320895,323117,320021,316978,321459,332365,334268,333353,326369,325840,320715,326408,328413,331212,332867,336590,331006,333135,324082,333959,334934,352783,364353,366431,366591,369039,382030,380623,382199,385284,393526,402900,414291,422744,434109,436611,447141,445235,457965,465354,471013,466430,460134,458161
394940,555,"Ontario, OR",msa,OR,164002,165134,167963,168145,173729,165850,171061,172815,185574,186964,184834,183952,186642,186684,190132,186197,193378,188416,200752,212386,230801,224415,215708,208908,216138,233743,259604,266391,259382,257305,260397,261723,252117,267200,282479,307428,297665,292458,297019,298266,309130,310390,322812,325291,338554,343115,354283,340290
394750,556,"Kinston, NC",msa,NC,96608,97245,93047,92221,94818,104543,111163,110966,112786,103481,97612,97619,103422,105632,97530,95960,95929,108146,116791,104844,106585,96533,114136,100117,107165,106868,116693,112016,115148,123659,132579,131616,134256,134465,133799,121270,120622,128179,137740,135234,138236,142772,148024,154275,153526,156722,160294,163904
394993,557,"Poplar Bluff, MO",msa,MO,,,,,,,114001,108182,109949,115353,119185,112062,117078,128504,128901,126705,117184,117453,119196,127571,129335,131683,120563,121032,119054,123438,125409,132249,138219,139040,138534,139599,148683,138733,135022,126619,129246,130887,134988,135187,130758,131080,129806,134060,135687,139328,139605,144959
395122,558,"St. Marys, GA",msa,GA,168135,164528,158806,156952,166397,166474,169231,168512,176504,174969,169519,172681,169794,172834,172675,180564,182919,181930,178610,175668,175253,179225,181636,190225,192990,196985,204785,205318,209620,203742,213738,215445,215259,209911,209141,215356,219600,223988,230338,232126,236739,241967,243476,244136,240720,244181,253685,255984
395216,559,"Waycross, GA",msa,GA,105528,102550,93826,94290,93787,85885,88747,92770,114152,117169,114743,113785,104710,95985,100284,112724,124007,117397,109614,111553,122411,117267,117833,114969,122897,121432,120927,121157,132612,130975,139630,132908,131332,124083,128808,135574,137596,148239,154610,160770,152038,153879,160193,156071,163568,156898,159087,151934
394566,561,"Elko, NV",msa,NV,237281,240353,237943,238828,238093,248616,257305,254478,255348,254312,256015,249466,249396,254121,257983,256714,254631,259664,262698,265995,262417,261456,259267,258647,259538,262994,272507,276384,278058,269205,270176,272531,282915,284314,290006,292989,292366,292074,303927,318255,320303,308521,313491,317539,324319,325410,331565,339303
395157,562,"Tiffin, OH",msa,OH,,,,,,,,,,,,,,,,,,,,85667,87236,94324,93673,91935,87999,90366,99624,106982,118080,108348,112861,111884,113553,115855,112270,124536,119130,120430,123645,115204,113347,115012,127740,139735,129343,130881,130921,141646
394556,563,"Edwards, CO",msa,CO,602619,620142,644896,643351,633907,599540,573625,577363,639266,655061,670995,663966,691875,687238,658701,644797,669308,677021,679735,662461,653812,723223,711216,747467,733955,836663,878785,893433,847137,852607,935460,871475,848650,729821,772042,797912,832257,811019,838378,854021,913202,872115,907259,962396,986343,1068346,1034107,1072155
394721,564,"Jasper, IN",msa,IN,,,,,,,135217,146453,135942,152662,148505,152092,150687,158350,167126,183206,180020,175661,158146,170194,163378,174329,162506,172930,170184,172670,172715,180626,186551,188988,178397,177874,179648,187381,184843,174323,169072,172055,186451,193400,191732,189805,193411,197536,199684,207490,200349,188052
394517,565,"Danville, KY",msa,KY,127481,123902,123466,124972,127460,123375,122646,122881,125596,119254,124314,122442,126073,119812,130974,134657,135361,131054,135859,137688,144782,139177,137098,131938,135082,143113,147811,147167,150416,155396,163211,160455,153817,153958,157515,164107,170481,175048,179201,180446,180724,187088,190545,186942,183868,180975,195171,196612
395131,566,"Sterling, IL",msa,IL,93090,90062,78924,69446,73627,74583,83306,75806,85284,89757,95280,95863,91613,92714,88032,91919,91598,96356,93058,97843,93907,97318,92239,91678,87911,94275,98218,97120,95534,99745,101079,99773,95352,92064,91488,88614,94263,95467,105748,111889,107256,111823,104712,112496,104963,110745,115902,112180
394967,570,"Payson, AZ",msa,AZ,232602,225264,226463,237837,245096,249827,239289,223451,226370,239456,260590,255394,258308,257270,266146,259795,251967,240318,257359,261370,270044,242048,252487,260905,289994,298306,305376,309014,314589,312867,315538,303811,309621,318317,352320,371363,372514,358342,363738,376699,388284,389099,387300,397150,389622,397150,387203,397143
395204,571,"Warrensburg, MO",msa,MO,161970,161274,164906,170251,171464,171446,165733,165620,164741,165439,169990,171697,171797,175129,180794,184636,181590,183093,190282,198542,195716,189306,183333,186786,187775,188237,189865,197628,206200,207674,205521,204720,202373,209595,219823,227077,225672,215095,209688,202477,212134,222325,229262,224355,224753,232104,238225,226215
394344,572,"Athens, TN",msa,TN,137877,140284,135339,131988,134023,124529,127278,127549,135199,140490,141328,145367,141947,144601,145012,148719,146098,138065,134571,138146,147598,150685,137986,136274,140247,147573,154674,147147,151859,149364,160438,165919,165251,169389,168605,175933,178693,183423,188880,196614,194761,197108,189987,193613,197100,213957,222603,220384
394562,573,"Elizabeth City, NC",msa,NC,171415,182832,197143,214244,222512,214557,195211,179389,176225,178882,172101,173422,171198,172612,181982,177509,187477,187632,203455,210114,212903,209484,194845,196715,194992,211781,219660,225581,222775,209913,205685,205596,215140,220705,222904,225815,231125,225001,219854,216341,227590,249201,259580,260934,255870,249306,243869,240886
394861,574,"Milledgeville, GA",msa,GA,175269,167607,160935,153540,161624,154421,156591,155563,154130,152701,164211,171687,170752,164764,160232,164641,167305,183561,190009,196430,203473,199773,203361,203283,230850,228508,223829,200881,188241,167595,175217,194515,213943,209511,191299,201110,210832,215120,202763,197805,201771,196292,190965,198537,210836,195846,190584,187519
395020,575,"Rexburg, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424763,449744,449422,442870,396733
394339,576,"Ashland, OH",msa,OH,121617,122877,123784,129057,130962,128702,130393,121905,134205,142976,144641,137471,128194,141905,142244,144366,140067,133275,137230,129621,143031,145993,149127,141749,134116,138006,148899,154570,161197,150387,151653,143578,156065,147173,148690,146519,144337,151804,150593,166827,174471,188067,187037,172995,161802,161588,172305,183029
394571,577,"Enterprise, AL",msa,AL,145012,156033,150954,157083,142340,151444,141972,149821,141665,143761,146464,139933,151660,164472,167831,167809,149356,148093,136155,144717,159912,158384,153004,147312,162884,165517,161085,162045,164128,165200,164116,167405,174987,173829,166444,163603,160128,174472,181948,187662,185013,181806,193162,195001,199208,191627,189879,194013
394742,579,"Kerrville, TX",msa,TX,246933,234557,236115,242813,253126,248484,249320,242169,239272,248943,256107,256445,242391,239103,261409,260460,261836,247233,260856,270623,271416,278961,273780,279335,275049,286831,289586,282576,290907,293528,328888,329294,348252,331814,338342,330907,335020,339587,344301,332552,329439,327508,335383,348803,355480,385617,390011,391489
394604,581,"Fort Leonard Wood, MO",msa,MO,140243,134165,134449,135658,136699,140194,141725,147203,147350,150709,152151,153824,155297,156688,153410,150536,150898,151960,159679,156685,157597,156700,160281,161671,160257,161350,163438,165961,164984,163270,162217,164855,171202,169686,170463,170901,179060,184690,183540,180976,175186,183495,184281,198374,197657,197769,200007,204447
394363,582,"Bartlesville, OK",msa,OK,120929,116216,119873,116153,125843,130368,141855,136421,127924,123553,129889,136734,132021,130095,128860,128470,120037,120971,128686,135360,126641,123746,127130,137898,138527,131754,131067,137507,149327,145957,145788,141550,156735,167227,166413,159356,154358,159142,159950,156524,159951,160846,165490,171037,179065,178218,182860,180274
395073,584,"Scottsboro, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,156167,165191,151425,175777,183665,177504,180398,164240,172952,180874,202913,199493,191540,188549,195836,189657,205976,221858,212008,208958,196059,206649,209555,219581,214692,194510
