RegionID,SizeRank,RegionName,RegionType,StateName,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
395166,388,"Truckee, CA",msa,CA,529667,537667,544333,542333,535667,527667,525500,515833,507167,499333,497667,496167,493167,493167,494667,497967,509458,522942,539308,539450,539133,539133,542500,538000,530000,525000,529667,537667,545667,552667,562667,578000,597833,611167,612800,605967,599300,599000,607650,604317,610983,619333,649333,668667,675000,665333,654667,639983,639650,644317,669000,685667,691333,691333,690500,698167,702167
395190,389,"Victoria, TX",msa,TX,212333,215150,214983,215283,218450,218514,216548,211564,211817,212983,216283,220200,225667,225667,225417,224933,229967,233650,237467,235914,233414,229614,226500,224317,221482,221115,221615,224917,234617,242633,248058,246142,245734,250159,247742,244150,237983,235782,234415,234765,246633,257500,261833,256833,248333,239967,234933,233267,236300,237998,242813,246443,249745,249898,248250,249917,246583
394882,390,"Moses Lake, WA",msa,WA,225667,225667,229000,234333,237983,242983,243283,244967,246117,244467,242700,239850,237200,233633,231967,235883,245883,258417,270167,276833,282167,284610,288244,288560,286283,277983,268167,268150,275450,282083,283900,278233,272267,265633,265333,273667,271967,267300,261633,278317,301650,324650,333000,337150,339150,340800,344817,346450,356300,356467,357333,357467,369133,382717,379417,377417,371333
395086,391,"Sevierville, TN",msa,TN,248400,248000,248667,249133,246267,242933,239600,242933,246567,249900,251600,257967,264633,267933,267933,270967,277667,284633,288267,289933,292966,296306,304640,314940,326633,331600,333300,333300,336333,339633,346267,356267,367933,379600,386567,390333,402033,418550,429817,437817,441300,461967,478467,495133,499433,503266,503266,516300,522967,539667,565000,604667,649667,669667,676333,661333,648000
395090,392,"Shelby, NC",msa,NC,139300,139633,141633,145000,156633,166633,170300,166983,163617,164917,159917,158250,158700,163717,170383,171467,176433,174800,180700,182050,183717,179217,176200,174117,172183,170517,173400,180767,194117,203133,205550,204717,197233,190467,177950,178917,176600,174300,172667,184833,196333,195483,193133,197300,206817,213000,223148,232782,235082,229933,226450,234817,241317,241467,234800,228300,228333
395038,393,"Rome, GA",msa,GA,169933,168233,166567,168250,169483,176117,181100,184600,179633,174633,173300,174966,173331,170148,168055,169690,172873,179633,184633,191867,195500,196500,197017,193683,192683,193250,198267,204967,208300,219883,229850,236533,233300,221666,209966,198267,189933,187965,195482,207115,210750,208933,203966,207333,201316,202150,198817,195300,196133,203450,218950,225617,228267,231600,236567,243233,243233
394852,394,"Meridian, MS",msa,MS,154167,154333,156000,156300,160383,162050,158417,158000,161000,167667,165983,162950,159267,158617,157800,156817,156900,157250,160583,162833,163300,158283,152783,151150,152833,152833,147800,143633,144133,148833,154000,153967,152600,151683,156117,164483,168567,170633,168850,167350,165717,163667,163333,163917,164417,163417,161000,160500,158333,158500,157317,159800,162467,172450,175450,179450,174133
394302,395,"Adrian, MI",msa,MI,149071,148225,148658,148667,153700,158267,161600,159600,157967,157967,161117,167750,171083,171350,169683,171350,173417,176742,176742,178258,178267,179633,178133,171467,165100,159900,159900,166600,174933,187966,194600,194600,188233,184746,183079,183075,176563,169896,166600,166600,177933,184567,189900,191900,194933,199600,198050,193346,184029,180196,186800,199150,211233,219633,224933,223267,219717
394542,396,"Dubuque, IA",msa,IA,201300,201083,208750,218583,232133,231133,229217,224250,224250,220000,213317,205983,203317,201633,210967,217883,227883,234200,240283,246967,249317,240133,228483,221150,223667,226650,218633,216267,223283,237633,247633,246283,246917,245250,247400,247433,245700,243067,248733,250333,257133,251133,242933,231300,219533,212867,209533,213233,218433,220767,222500,224000,225833,232483,238817,239650,237000
394441,397,"Cape Girardeau, MO",msa,MO,154933,159633,164267,167600,169567,173500,176833,176867,174933,171600,168233,170833,170833,173200,169633,169633,170600,174933,179633,181300,182967,184933,187548,185882,182548,176600,176567,174067,174067,175750,181583,189117,189800,183500,175967,172967,174300,175967,174800,179467,184167,189000,189300,197933,203233,214933,214933,219967,216633,206833,192983,181283,189117,196267,211267,219933,232800
394311,398,"Albertville, AL",msa,AL,181317,173750,171383,169733,174267,178300,183800,187000,188167,190833,192650,203483,206800,208450,203083,206433,212967,221483,224883,227033,228517,231700,231383,231317,227900,227867,228550,228850,230517,229900,230767,232450,232483,231617,234967,238267,238267,228267,223800,220500,228500,239633,256267,266267,269300,262667,256300,254117,257417,261433,261700,268367,274350,283233,287433,287283,283650
394513,399,"Cumberland, MD",msa,MD,116133,114967,116633,118050,119717,119750,123000,124667,126833,126750,126717,124517,121600,119933,119933,119933,118883,118583,118582,122998,126665,129600,127933,126233,124533,123450,123283,124517,125600,124133,123333,124966,126633,126933,125267,126859,126526,126559,126300,128000,131300,133300,139300,140300,138559,130892,126559,123117,119783,117483,117633,117633,121300,127650,134317,132983,133300
394340,400,"Ashtabula, OH",msa,OH,110467,109467,109167,109300,112625,114625,117958,118267,119933,119967,119981,119947,119914,119900,119900,119900,122433,128550,136883,140050,139633,135983,134483,132808,131492,130658,131000,134300,137600,140600,143600,146633,148383,145417,142383,136617,134917,133767,137683,141017,144867,144283,142650,143900,146733,146726,144292,144109,140267,136196,130196,132537,135533,142233,147042,150780,150746
394988,401,"Pocatello, ID",msa,ID,183558,189908,188242,194650,205000,213333,214967,207450,202417,199933,204766,209783,205617,196600,196283,214600,235433,247850,242350,241517,237767,241617,237817,238117,241433,241600,241267,241283,250617,263983,269833,276667,274333,265133,248450,240783,246633,255783,268283,282467,293167,295633,301633,304300,317667,328300,345383,347017,338717,325800,330500,338500,349317,349617,353267,358283,358283
394953,402,"Paducah, KY",msa,KY,143233,139900,139900,142933,144783,147467,147767,145950,142967,139483,139450,140917,142733,142733,141600,141617,143283,143767,143450,143483,145067,146733,148367,149633,149933,149133,145800,145800,146600,149900,152083,155850,160850,161783,159683,154683,151567,149900,150733,150733,150733,152933,154633,158000,158000,159333,159300,159600,158267,154933,151600,149933,151950,158650,161950,163267,164900
394580,403,"Fairbanks, AK",msa,AK,207233,208233,211600,213300,221483,229783,239767,241617,245883,245867,243033,238767,235467,233300,231667,229583,227917,229550,233267,239100,240800,237500,233440,228407,228373,229933,231633,234000,235633,237283,239917,238283,241600,239933,236567,226567,216567,214900,221567,231567,246600,251633,258300,256600,261600,260933,257600,252600,249783,253133,256467,279067,302400,325733,328283,326633,326600
394410,404,"Brainerd, MN",msa,MN,260600,254083,256267,265967,275967,279600,281267,281267,279633,276633,273333,268300,261600,254900,258233,269767,283617,293617,295450,296633,296633,298233,296533,293200,284900,279900,279900,283233,288717,288717,290383,289883,291583,293250,289992,284958,279658,276133,269467,268133,274633,284500,286133,289467,289600,296267,293267,292967,277983,271317,273983,299817,320633,338267,347450,353300,349833
394501,405,"Corning, NY",msa,NY,135633,135950,133283,131933,133767,133767,131783,131267,132967,135867,135867,135833,133067,131400,130583,133783,137117,139633,142117,143783,143750,140933,139267,138950,137917,134283,132933,132966,138266,142966,146800,147700,147117,148250,149050,149966,149997,149980,149981,153566,152917,152883,150933,158233,163233,164900,163000,163017,161050,157950,152933,152267,153933,161933,170417,173750,172433
394505,406,"Corvallis, OR",msa,OR,374058,380725,384725,386433,387783,387150,392650,394567,399567,399867,399633,399600,402942,403108,408142,408167,411633,411633,414300,416000,414667,413667,417000,423000,426633,427867,422367,416067,414833,419667,433967,438967,443300,438333,439167,441800,441800,439300,429542,432875,429542,440000,456667,478667,490333,491500,494483,509817,510317,512000,506667,506650,518317,530483,546467,543133,545633
394469,407,"Clarksburg, WV",msa,WV,147267,147267,151833,156500,162433,164517,167850,168433,171417,173450,175133,173333,171300,168967,168300,167500,167633,168433,170900,171917,171917,168617,163600,160267,156733,154433,153450,155283,158933,159917,161767,166600,168300,166150,158833,152167,149133,146633,144933,141633,139950,142550,145783,147767,154867,158117,161150,158483,159667,161000,160667,162983,167317,171967,171950,174283,177967
394911,408,"New Philadelphia, OH",msa,OH,132233,132167,129283,129283,130867,134750,139750,144900,144900,143583,140250,140250,138083,135183,133367,135183,138083,143233,149750,155100,155100,151917,148100,147133,148133,148267,147733,145067,143400,144750,151417,158083,163233,159917,159250,156450,156200,155200,153000,150750,150783,155467,169617,177917,188233,181567,173933,158933,155600,155417,158750,158100,160917,165917,174900,179600,182933
394928,409,"Ocean City, NJ",msa,NJ,417500,419500,424633,427967,427967,424633,424633,425967,429300,431267,433233,436567,438233,440933,442600,442300,444133,445167,445500,445333,445967,449267,449933,453267,459933,468266,471283,471133,469433,473083,481600,491300,491000,487667,486333,496983,510317,520317,525000,540817,557450,565783,571300,563833,563800,547133,546300,558000,561483,559483,564150,580667,595967,596267,596183,599217,590917
395140,410,"Sunbury, PA",msa,PA,99900,102417,102417,104100,107267,113300,119950,120283,119383,116083,116733,115967,115967,115983,119967,123267,127850,132533,135200,135200,130533,125733,117833,114167,111300,111267,106433,109726,113059,121309,128017,134716,139933,136633,131633,121633,112050,107017,103683,108767,118633,131967,143100,139900,131733,114767,104367,96983,95650,94333,91483,91067,92650,101050,117967,126433,132133
753887,411,"Hermiston, OR",msa,OR,193833,196167,203667,211967,220600,226600,232967,232667,231000,226333,227333,225333,225833,228467,234283,238783,240150,241483,244617,248251,249734,249933,253050,256250,254583,249813,244979,246463,251483,262983,268167,269667,262333,260667,258500,261833,255167,242467,235633,239783,254483,267150,279333,287983,291317,298133,301483,308148,309998,318332,316770,314936,321550,331180,336330,332217,332483
