Level,Level1,Level2,Level3,Level4,Level5,Level6,Products and product groups
6,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Fresh vegetables,Tomatoes,Tomatoes
6,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Fresh vegetables,Lettuce,Lettuce
6,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Fresh vegetables,Other fresh vegetables,Other fresh vegetables
5,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Preserved vegetables and vegetable preparations,,Preserved vegetables and vegetable preparations
6,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Preserved vegetables and vegetable preparations,Frozen and dried vegetables,Frozen and dried vegetables
6,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Preserved vegetables and vegetable preparations,Canned vegetables and other vegetable preparations,Canned vegetables and other vegetable preparations
6,All-items,Food,Food purchased from stores,Vegetables and vegetable preparations,Preserved vegetables and vegetable preparations,Fermented or pickled vegetables (2013=100),Fermented or pickled vegetables (2013=100)
4,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,,,Other food products and non-alcoholic beverages
5,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Sugar and confectionery,,Sugar and confectionery
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Sugar and confectionery,Sugar and syrup,Sugar and syrup
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Sugar and confectionery,Confectionery,Confectionery
5,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Edible fats and oils,,Edible fats and oils
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Edible fats and oils,Margarine,Margarine
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Edible fats and oils,Other edible fats and oils,Other edible fats and oils
5,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Coffee and tea,,Coffee and tea
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Coffee and tea,Coffee,Coffee
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Coffee and tea,Tea,Tea
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Coffee and tea,Roasted or ground coffee (2013=100),Roasted or ground coffee (2013=100)
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Coffee and tea,Instant and other coffee (2013=100),Instant and other coffee (2013=100)
5,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,"Condiments, spices and vinegars",,"Condiments, spices and vinegars"
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,"Condiments, spices and vinegars","Sauces, condiments and dips (2013=100)","Sauces, condiments and dips (2013=100)"
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,"Condiments, spices and vinegars","Herbs, spices and seasonings (2013=100)","Herbs, spices and seasonings (2013=100)"
5,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,,Other food preparations
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,Canned infant or junior foods (2013=100),Canned infant or junior foods (2013=100)
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,Infant formula (2013=100),Infant formula (2013=100)
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,Soup,Soup
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,Baby foods,Baby foods
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,Frozen food preparations,Frozen food preparations
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,All other food preparations,All other food preparations
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,Potato chips and other snack products n.e.c. (2013=100),Potato chips and other snack products n.e.c. (2013=100)
6,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Other food preparations,All other miscellaneous food preparations (2013=100),All other miscellaneous food preparations (2013=100)
5,All-items,Food,Food purchased from stores,Other food products and non-alcoholic beverages,Non-alcoholic beverages,,Non-alcoholic beverages
3,All-items,Food,Food purchased from restaurants,,,,Food purchased from restaurants
4,All-items,Food,Food purchased from restaurants,Food purchased from table-service restaurants,,,Food purchased from table-service restaurants
